datetime,purpose_id,units,reading,upload_timestamp
1490706000.0,94,kW,0.0,1490753645.7590885
1490706300.0,94,kW,0.0,1490753645.7590885
1490706600.0,94,kW,0.0,1490753645.7590885
1490706900.0,94,kW,0.0,1490753645.7590885
1490707200.0,94,kW,0.0,1490753645.7590885
1490707500.0,94,kW,0.0,1490753645.7590885
1490707800.0,94,kW,0.0,1490753645.7590885
1490708100.0,94,kW,0.0,1490753645.7590885
1490708400.0,94,kW,0.0,1490753645.7590885
1490708700.0,94,kW,0.0,1490753645.7590885
1490709000.0,94,kW,0.0,1490753645.7590885
1490709300.0,94,kW,0.0,1490753645.7590885
1490709600.0,94,kW,0.0,1490753645.7590885
1490709900.0,94,kW,0.0,1490753645.7590885
1490710200.0,94,kW,0.0,1490753645.7590885
1490710500.0,94,kW,0.0,1490753645.7590885
1490710800.0,94,kW,0.0,1490753645.7590885
1490711100.0,94,kW,0.0,1490753645.7590885
1490711400.0,94,kW,0.0,1490753645.7590885
1490711700.0,94,kW,0.0,1490753645.7590885
1490712000.0,94,kW,0.0,1490753645.7590885
1490712300.0,94,kW,0.0,1490753645.7590885
1490712600.0,94,kW,0.0,1490753645.7590885
1490712900.0,94,kW,0.0,1490753645.7590885
1490713200.0,94,kW,0.0,1490753645.7590885
1490713500.0,94,kW,0.0,1490753645.7590885
1490713800.0,94,kW,0.0,1490753645.7590885
1490714100.0,94,kW,0.0,1490753645.7590885
1490714400.0,94,kW,0.0,1490753645.7590885
1490714700.0,94,kW,0.0,1490753645.7590885
1490715000.0,94,kW,0.0,1490753645.7590885
1490715300.0,94,kW,0.0,1490753645.7590885
1490715600.0,94,kW,0.0,1490753645.7590885
1490715900.0,94,kW,0.0,1490753645.7590885
1490716200.0,94,kW,0.0,1490753645.7590885
1490716500.0,94,kW,0.0,1490753645.7590885
1490716800.0,94,kW,0.0,1490753645.7590885
1490717100.0,94,kW,0.0,1490753645.7590885
1490717400.0,94,kW,0.0,1490753645.7590885
1490717700.0,94,kW,0.0,1490753645.7590885
1490718000.0,94,kW,0.0,1490753645.7590885
1490718300.0,94,kW,0.0,1490753645.7590885
1490718600.0,94,kW,0.0,1490753645.7590885
1490718900.0,94,kW,0.0,1490753645.7590885
1490719200.0,94,kW,0.0,1490753645.7590885
1490719500.0,94,kW,0.0,1490753645.7590885
1490719800.0,94,kW,0.0,1490753645.7590885
1490720100.0,94,kW,0.0,1490753645.7590885
1490720400.0,94,kW,0.0,1490753645.7590885
1490720700.0,94,kW,0.0,1490753645.7590885
1490721000.0,94,kW,0.0,1490753645.7590885
1490721300.0,94,kW,0.0,1490753645.7590885
1490721600.0,94,kW,0.0,1490753645.7590885
1490721900.0,94,kW,0.0,1490753645.7590885
1490722200.0,94,kW,0.0,1490753645.7590885
1490722500.0,94,kW,0.0,1490753645.7590885
1490722800.0,94,kW,0.0,1490753645.7590885
1490723100.0,94,kW,0.0,1490753645.7590885
1490723400.0,94,kW,0.0,1490753645.7590885
1490723700.0,94,kW,0.0,1490753645.7590885
1490724000.0,94,kW,0.0,1490753645.7590885
1490724300.0,94,kW,0.0,1490753645.7590885
1490724600.0,94,kW,0.0,1490753645.7590885
1490724900.0,94,kW,0.0,1490753645.7590885
1490725200.0,94,kW,0.0,1490753645.7590885
1490725500.0,94,kW,0.0,1490753645.7590885
1490725800.0,94,kW,0.0,1490753645.7590885
1490726100.0,94,kW,0.0,1490753645.7590885
1490726400.0,94,kW,0.0,1490753645.7590885
1490726700.0,94,kW,0.0,1490753645.7590885
1490727000.0,94,kW,0.0,1490753645.7590885
1490727300.0,94,kW,0.0,1490753645.7590885
1490727600.0,94,kW,0.0,1490753645.7590885
1490727900.0,94,kW,0.0,1490753645.7590885
1490728200.0,94,kW,0.0,1490753645.7590885
1490728500.0,94,kW,0.0,1490753645.7590885
1490728800.0,94,kW,0.0,1490753645.7590885
1490729100.0,94,kW,0.0,1490753645.7590885
1490729400.0,94,kW,0.0,1490753645.7590885
1490729700.0,94,kW,0.0,1490753645.7590885
1490730000.0,94,kW,0.0,1490753645.7590885
1490730300.0,94,kW,0.0,1490753645.7590885
1490730600.0,94,kW,0.0,1490753645.7590885
1490730900.0,94,kW,0.0,1490753645.7590885
1490731200.0,94,kW,0.0,1490753645.7590885
1490731500.0,94,kW,0.0,1490753645.7590885
1490731800.0,94,kW,0.0,1490753645.7590885
1490732100.0,94,kW,0.0,1490753645.7590885
1490732400.0,94,kW,0.0,1490753645.7590885
1490732700.0,94,kW,0.0,1490753645.7590885
1490733000.0,94,kW,0.0,1490753645.7590885
1490733300.0,94,kW,0.0,1490753645.7590885
1490733600.0,94,kW,0.0,1490753645.7590885
1490733900.0,94,kW,0.0,1490753645.7590885
1490734200.0,94,kW,0.0,1490753645.7590885
